order_id,customer_id,product_id,order_amount,order_status,order_date,region
O001,C001,P101,1500.00,COMPLETED,2024-01-05 10:23:00,SOUTH
O002,C002,P205,320.50,COMPLETED,2024-01-05 11:45:00,NORTH
O003,C003,P101,875.00,PENDING,2024-01-05 12:10:00,WEST
O004,C001,P310,2200.00,COMPLETED,2024-01-06 09:00:00,SOUTH
O005,C004,P205,450.00,CANCELLED,2024-01-06 10:30:00,EAST
O006,C005,P101,1100.00,COMPLETED,2024-01-06 14:15:00,NORTH
O007,C002,P402,670.00,COMPLETED,2024-01-07 08:45:00,WEST
O008,C006,P310,3400.00,PENDING,2024-01-07 09:20:00,SOUTH
O009,C003,P101,560.00,COMPLETED,2024-01-07 11:00:00,EAST
O010,C007,P205,890.00,COMPLETED,2024-01-08 10:10:00,NORTH
O011,C008,P402,1250.00,CANCELLED,2024-01-08 13:30:00,WEST
O012,C001,P101,700.00,COMPLETED,2024-01-08 15:00:00,SOUTH
O013,C009,P310,4100.00,COMPLETED,2024-01-09 09:45:00,EAST
O014,C010,P205,230.00,PENDING,2024-01-09 11:20:00,NORTH
O015,C004,P101,980.00,COMPLETED,2024-01-09 14:00:00,WEST
O016,C005,P402,1750.00,COMPLETED,2024-01-10 08:30:00,SOUTH
O017,C011,P205,410.00,COMPLETED,2024-01-10 10:45:00,EAST
O018,C002,P310,2900.00,CANCELLED,2024-01-10 12:15:00,NORTH
O019,C012,P101,630.00,COMPLETED,2024-01-10 14:30:00,WEST
O020,C006,P402,1450.00,COMPLETED,2024-01-11 09:00:00,SOUTH
